log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-1.1715,7.9419,0.0201,0.0137,7.6687,25118.864315095823,16221980.87420009,31424644.29777833,6568581.444286292,35158823.62975351,43543809.155639395,13443066.088840459,5560826.239739522,2480963.8241895535
-1.086,7.9364,0.0162,0.0138,7.455,26302.679918953814,17538273.82936245,34222626.069575965,7027397.998894276,39231715.32855184,47329223.50596779,14455106.482853744,5945416.530678613,2641577.7217416666
-1.0002,7.9306,0.0133,0.0139,7.2406,27542.28703338169,19040371.548579626,37418114.90637703,7548195.203959553,43946659.569753185,51648528.37933457,15605218.988892887,6381324.9245131565,2824307.4103500014
-0.9142,7.9246,0.0111,0.014,7.0255,28840.31503126606,20778249.075273395,41131583.878704965,8154862.675218959,49487942.56816629,56643682.63461362,16938829.503138706,6887226.84743925,3036725.2087273183
-0.8279,7.9183,0.0093,0.0141,6.8097,30199.51720402019,22785931.845231753,45418551.504386745,8859199.836034091,55959940.583122306,62380568.29013489,18479969.18555163,7473813.111929056,3284152.691237259
-0.7411,7.9115,0.0079,0.0142,6.5927,31622.776601683792,25015450.622898277,50180480.55816061,9647527.710712135,63203158.36684596,68743377.07962625,20194949.86106847,8129124.413764896,3562253.9545545112
-0.6539,7.9043,0.0068,0.0143,6.3748,33113.112148259075,27349723.773778036,55167007.92355289,10476124.439673105,70814695.994602,75386829.22892775,21992135.015946075,8815123.155645093,3854335.287384271
-0.5664,7.8968,0.0058,0.0145,6.156,34673.685045253165,29282558.18246508,59349286.246439576,11150561.027897205,77406862.64276677,80945283.3626014,23466237.59408565,9372262.732028695,4090774.702198522
-0.4784,7.8888,0.0051,0.0146,5.9361,36307.8054770101,31581976.62568139,64269629.048784696,11965394.223467702,84927777.37981756,87494718.98543423,25232120.87355462,10046961.719798192,4378807.512004333
-0.3899,7.8803,0.0044,0.0147,5.7148,38018.93963205613,33883662.70039474,69182592.96203066,12779623.343059983,92444440.96627745,94061712.8017798,26996334.36790051,10720765.327579582,4666882.821512916
-0.3008,7.8712,0.0038,0.0149,5.492,39810.71705534969,35711860.99853034,73137307.49341495,13414675.964323241,98660413.92310774,99310464.99625817,28387485.879818764,11246254.889127828,4890677.540459337
