teff,logg,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
8892.441155835142,9.1255342,14.578231194627946,14.653542428339804,14.406836411856137,14.966555071295993,14.66112384059976,14.636215273391333,14.723836412191414,14.891178491827581,2283129.6233112575,3487647.3160551167,1332957.1427710154,2350777.195240927,4604643.834062617,2172157.8704036064,1119138.7200240253,579092.8420376672
8831.104014445133,9.1255493,14.597533392091503,14.676157456904505,14.421353626425187,14.999721520311947,14.685210960557821,14.653799910095966,14.738353626760464,14.903609678523285,2242988.150865793,3415889.7009761618,1315305.3593192075,2280143.4930358874,4503793.655481184,2137345.941217869,1104318.443,572523.0964147713
8769.442806338207,9.1255645,14.616937312291098,14.698891741141415,14.435947252792905,15.033063032342318,14.709425113789292,14.67147719486857,14.752947253128182,14.916106225815836,2203345.997140388,3345241.03,1297795.9926140974,2211275.5478306944,4404636.903660021,2102912.471100742,1089617.737451861,565993.8108172517
8709.375192651532,9.1255791,14.636245963955886,14.721769711224706,14.450000779653397,15.067575644309013,14.734070457886286,14.689103836550128,14.767081653190157,14.927954344160941,2164594.3983744145,3275620.020189189,1281156.8649344165,2142175.7997098686,4305952.805381219,2069130.2494326634,1075567.5581041763,559873.2588374817
8650.914106489634,9.1255937,14.655184725738323,14.744333741972685,14.463559816661931,15.102069534375051,14.758506373038458,14.706405571120033,14.780757047547507,14.939291236671817,2127164.2503024493,3208247.7953961017,1265256.838405052,2075188.5033102294,4210124.118536853,2036418.9796168979,1062105.203520833,554057.6655280072
8584.83594,9.1256086,14.676634230926215,14.769880879768856,14.478928617571825,15.141101037793476,14.786169346302842,14.726004768436695,14.796257337726225,14.952148340577349,2085635.9963160113,3133764.3792595095,1247522.7183967386,2001991.557471893,4104374.6867170143,2000067.9357070394,1047091.6849491409,547557.1024133441
8521.656025,9.1256228,14.697144720942823,14.794309305201345,14.49362505082913,15.17842256604084,14.812620863208775,14.744746107239902,14.811079463712574,14.96444321317312,2046687.8360665832,3064165.7947493657,1230799.1300363957,1934420.6564042007,4005748.5523145203,1965918.4686172833,1032935.3753231813,541413.0981670758
8459.876049735762,9.1256365,14.718081556417776,14.81963861463786,14.507834608908908,15.21756112472793,14.840088168847373,14.763711841486483,14.825573215568078,14.975743888739785,2007678.4865651997,2993627.9674589974,1214844.3785133753,1866004.9378200227,3905836.4424652285,1931952.7470810846,1019278.6826647352,535828.4625307845
8397.925159881006,9.1256495,14.739552439922047,14.84581792177109,14.521995679549743,15.258238268226602,14.868497812015374,14.783075638596262,14.840106591687473,14.986684713387032,1968444.1774784161,2922425.145410574,1199149.9992619571,1797459.9506668795,3805112.3761469396,1897877.9167929045,1005765.8429044243,530477.2219698665
8336.639082018344,9.1256622,14.760750131898877,14.87167350806548,14.535962030418634,15.298436127220715,14.896559798712818,14.80218883,14.854441278303401,14.99746542676679,1930385.4100002397,2853652.993956966,1183823.5389823313,1732128.386,3708025.3334545945,1864760.2157402276,992574.2578,525235.9636850654
8276.619692643671,9.1256747,14.781552903916301,14.897037903675384,14.54968294508335,15.337846390537786,14.92408499234021,14.820950164431094,14.86852293989786,15.00806659437101,1893826.5877587036,2787871.1328878733,1169003.7303653501,1670449.1713722195,3615346.3322126833,1832887.2656293167,979823.0114305208,520153.2063156325
8217.127013734582,9.1256872,14.802706699461766,14.922582523762994,14.564078591437394,15.377773506662749,14.95210054017626,14.84008113,14.883143976300143,15.019630734261483,1857359.5503765158,2723153.603189363,1153652.2848479876,1610199.5874053687,3523392.1288655093,1800945.8652191106,966755.1900561989,514662.9630310423
8158.794604159111,9.1256993,14.823872175149045,14.947949396207456,14.57882533136975,15.417607494281924,14.980151459295069,14.859263820569389,14.898006722017776,15.031808212037017,1821575.1180639372,2660373.924262946,1138134.3395479464,1552256.2186162649,3433664.8649219275,1769476.8122661484,953649.3264926838,508943.08419495216
8092.654510475272,9.1257118,14.84782167099447,14.976662671792873,14.595496902417821,15.462724213100941,15.011908050687325,14.880965174726942,14.914809801755833,15.045566532973488,1781834.1861871125,2590940.0973729305,1120791.68,1489075.5092073071,3334688.471,1734460.1821322527,939004.0696383929,502534.50766759063
8030.674067276201,9.1257234,14.87030820629564,15.003613431383904,14.611163163597794,15.50504677220534,15.041710750055273,14.901344982349105,14.930599277232446,15.058502668293645,1745379.881474947,2527518.605044401,1104779.703128158,1432204.3549477693,3244527.661,1702274.9329156356,925484.1323336255,496602.30103549676
7969.443573194763,9.1257344,14.893192786671491,15.031274214523133,14.62712839606256,15.548196384793151,15.072188263905936,14.92233204962142,14.946686930701684,15.071405485761467,1709044.7188257296,2464037.658383204,1088696.6509644384,1376456.3321449936,3154843.123561833,1669752.7604510754,911908.3843764588,490755.1814869859
7909.153420534677,9.1257454,14.916345198737783,15.059491219412866,14.643288291265094,15.591963794112335,15.103178023395628,14.943797698258042,14.96296808663195,15.084188956415037,1672986.5974706158,2400825.1891192514,1072612.6853247548,1322073.1167293182,3066068.580731434,1637064.9515890244,898335.8808746903,485010.9072296719
7850.096581489159,9.125756,14.939067279209453,15.087174286364366,14.659160941125698,15.634879010823845,15.133577102384116,14.964867561954655,14.978959537529747,15.096754253689092,1638403.711,2340478.229,1057088.0476970477,1270886.2501671624,2981532.355211842,1605666.175048627,885236.7997533539,479449.2901069483
7792.144542344981,9.1257664,14.961321902830846,15.114297089273869,14.674694308156393,15.676948873207447,15.163365088319235,14.985500916430034,14.994609502613741,15.109042140127713,1605162.7529746736,2282734.930659671,1042072.2130593533,1222584.0794875307,2900843.719879131,1575440.1775329364,872568.3848326094,474053.6833538988
