log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-1.614,7.1226,0.1077,0.0249,8.7749,14454.39770745928,6440303.368530548,11347829.727165645,2949809.902741922,8369832.673223846,16215444.495921936,5661099.313441711,2510855.761230747,1182232.4394275825
-1.5235,7.1122,0.0914,0.0252,8.5487,15135.612484362071,6960876.647635123,12378568.470799617,3149427.6926107006,9513808.128223086,17673658.970686063,6083288.123165724,2677067.844312797,1254470.5910482588
-1.4326,7.1013,0.0773,0.0255,8.3215,15848.93192461114,7524968.018130087,13498053.462993745,3365056.515936098,10796304.107212339,19250729.48782023,6538815.857313803,2856670.1597193233,1332481.5524949192
-1.3413,7.09,0.0646,0.0258,8.0932,16595.869074375598,8140022.539043861,14725569.266514344,3599095.010602939,12240412.623123793,20970468.845103405,7034286.554249399,3051975.529711684,1417301.1976197078
-1.2493,7.078,0.0527,0.0262,7.8634,17378.00828749376,8748678.087226909,15958384.407001603,3826397.9994393266,13764260.625496134,22686367.84205105,7520676.108269795,3241737.7356897346,1498507.7155424224
-1.1559,7.0646,0.0392,0.0266,7.6297,18197.008586099826,9438473.179898186,17355144.40329255,4084223.03278482,15506443.345472077,24622053.970626615,8070421.076832574,3456345.7971208524,1590956.454050744
-1.0504,7.0391,0.0079,0.0274,7.3659,19054.607179632483,10165386.453764586,18840411.285202827,4353229.843404198,17407417.45157486,26680036.9402441,8646460.11333897,3680267.050761685,1686865.4390899355
-0.9565,7.0251,0.0025,0.0278,7.1311,19952.62314968879,10986400.517505864,20518325.39918947,4656537.787799783,19575185.136012178,28999997.49323536,9297578.978996469,3934149.57188086,1795609.8297039475
-0.8645,7.0132,0.0013,0.0282,6.9013,20892.96130854041,11821886.969867421,22246069.423202522,4960146.534872426,21874455.6017039,31369625.613043193,9953166.092835722,4187571.5682459055,1903195.2687295277
-0.7726,7.0013,0.0009,0.0286,6.6715,21877.616239495517,12724858.247693943,24120118.580281656,5285677.446390884,24410878.198619794,33940285.087915584,10659268.495872311,4459112.124729766,2018410.5139765579
-0.6802,6.9889,0.0007,0.029,6.4405,22908.676527677748,46463189991.19958,76073869816.8029,23165235926.822464,68409981693.86806,101142004471.1027,46629791357.62547,26043806700.663715,15721919571.623493
-0.5872,6.9759,0.0005,0.0294,6.2081,23988.329190194898,45207486212.45643,74017914429.09346,22539177442.79894,66561148832.13364,98408563284.04527,45369585047.622536,25339952606.851524,15297022490.322733
-0.4939,6.9626,0.0004,0.0299,5.9747,25118.864315095823,43708171924.92124,71563097186.75543,21791661630.695057,64353636541.58569,95144825852.28058,43864894723.50758,24499548590.349304,14789694029.9721
-0.4001,6.9488,0.0003,0.0304,5.7404,26302.679918953814,42282226868.28995,69228406894.83556,21080725647.569347,62254149286.425545,92040800034.83961,42433836707.672935,23700269904.841354,14307191784.68594
-0.3059,6.9346,0.0002,0.0309,5.5048,27542.28703338169,40924940860.06519,67006131603.07416,20404021129.29032,60255752039.19422,89086232611.93053,41071683928.491554,22939476372.53295,13847921952.781557
-0.211,6.9197,0.0002,0.0314,5.2676,28840.31503126606,39631975721.73196,64889168440.84063,19759385182.41885,58352057491.726875,86271680149.49629,39774082652.1999,22214736333.378822,13410416608.924658
-0.1152,6.9039,0.0002,0.032,5.0281,30199.51720402019,38159709748.631676,62478637222.58909,19025354896.931335,56184369730.99905,83066822031.44273,38296537628.67482,21389493589.11932,12912240585.679058
-0.0184,6.8871,0.0001,0.0326,4.7861,31622.776601683792,36767984100.45433,60199974138.96951,18331479745.62243,54135265351.10754,80037285709.0946,36899821720.57946,20609395757.516457,12441317286.81486
0.0795,6.8691,0.0001,0.0333,4.5412,33113.112148259075,35238430126.16114,57695645660.01245,17568887278.682,51883229720.29959,76707721920.29628,35364783280.36415,19752041622.936607,11923756513.031366
0.1788,6.8499,0.0001,0.034,4.293,34673.685045253165,33802372649.306957,55344398370.182724,16852909528.077587,49768853464.13757,73581683183.56174,33923576584.570084,18947094667.17836,11437832491.120552
0.2795,6.8292,0.0001,0.0349,4.0413,36307.8054770101,32081463027.8888,52526764571.66299,15994912533.113594,47235075742.024315,69835572581.66794,32196496360.262245,17982480796.757156,10855522006.991205
0.3817,6.807,0.0001,0.0358,3.7857,38018.93963205613,30488704146.717365,49918951121.94628,15200807882.445688,44889980497.2871,66368423083.07901,30598026381.638386,17089698694.842691,10316574357.647512
0.4856,6.7831,0.0,0.0368,3.526,39810.71705534969,28854222872.31129,47242825877.19402,14385901623.388536,42483455373.15619,62810451441.54462,28957684407.315556,16173530124.097786,9763508949.47377
0.5913,6.7573,0.0,0.0379,3.2616,41686.93834703355,27203613719.341156,44540294564.87438,13562954459.003826,40053184400.37525,59217372310.27168,27301156725.282482,15248321464.803349,9204986292.030376
0.6992,6.7295,0.0,0.0391,2.992,43651.58322401656,25559450018.379543,41848316347.96424,12743220815.181538,37632403375.52935,55638323768.288635,25651097606.48021,14326725646.259626,8648644605.76223
0.8095,6.6992,0.0,0.0405,2.7163,45708.818961487515,23822918934.673885,39005105633.85535,11877435399.760824,35075625425.72354,51858208053.77069,23908339906.577057,13353355546.568014,8061048230.291332
0.9227,6.6659,0.0,0.0421,2.4332,47863.0092322638,22046559646.243725,36096684466.87348,10991792764.912006,32460206501.059593,47991393503.87177,22125611191.407753,12357660719.166662,7459975039.485987
1.0396,6.629,0.0,0.044,2.1409,50118.72336272725,20183648131.507664,33046551919.385963,10062997631.434755,29717352584.991234,43936170330.68046,20256019902.770153,11313451154.575506,6829614855.235205
